          -1.000000000000          -1186.518097050000          -1186.307459560000
          -0.998044965787          -1186.548648810857          -1186.338036887656
          -0.996089931574          -1186.579452399924          -1186.368866093841
          -0.994134897361          -1186.610489603318          -1186.399928961033
          -0.992179863148          -1186.641742207158          -1186.431207271710
          -0.990224828935          -1186.673191997559          -1186.462682808349
          -0.988269794721          -1186.704820760641          -1186.494337353430
          -0.986314760508          -1186.736610282519          -1186.526152689430
          -0.984359726295          -1186.768542349311          -1186.558110598826
          -0.982404692082          -1186.800598747136          -1186.590192864098
          -0.980449657869          -1186.832761262109          -1186.622381267722
          -0.978494623656          -1186.865011680349          -1186.654657592177
          -0.976539589443          -1186.897331787974          -1186.687003619941
          -0.974584555230          -1186.929703371099          -1186.719401133492
          -0.972629521017          -1186.962108215843          -1186.751831915308
          -0.970674486804          -1186.994528108323          -1186.784277747866
          -0.968719452590          -1187.026944834657          -1186.816720413646
          -0.966764418377          -1187.059340180962          -1186.849141695124
          -0.964809384164          -1187.091695933354          -1186.881523374779
          -0.962854349951          -1187.123993877953          -1186.913847235089
          -0.960899315738          -1187.156215800874          -1186.946095058531
          -0.958944281525          -1187.188343488236          -1186.978248627585
          -0.956989247312          -1187.220358726155          -1187.010289724727
          -0.955034213099          -1187.252243300750          -1187.042200132436
          -0.953079178886          -1187.283978998137          -1187.073961633190
          -0.951124144673          -1187.315547604434          -1187.105556009466
          -0.949169110459          -1187.346930905759          -1187.136965043743
          -0.947214076246          -1187.378110688227          -1187.168170518499
          -0.945259042033          -1187.409068737958          -1187.199154216211
          -0.943304007820          -1187.439786841069          -1187.229897919358
          -0.941348973607          -1187.470246783676          -1187.260383410418
          -0.939393939394          -1187.500430351898          -1187.290592471868
          -0.937438905181          -1187.530319331851          -1187.320506886187
          -0.935483870968          -1187.559895509653          -1187.350108435853
          -0.933528836755          -1187.589140671422          -1187.379378903343
          -0.931573802542          -1187.618036603274          -1187.408300071136
          -0.929618768328          -1187.646565091327          -1187.436853721710
          -0.927663734115          -1187.674707921699          -1187.465021637542
          -0.925708699902          -1187.702446880506          -1187.492785601111
          -0.923753665689          -1187.729763753867          -1187.520127394894
          -0.921798631476          -1187.756640327899          -1187.547028801370
          -0.919843597263          -1187.783058388718          -1187.573471603016
          -0.917888563050          -1187.808999722443          -1187.599437582311
          -0.915933528837          -1187.834446115191          -1187.624908521733
          -0.913978494624          -1187.859379353079          -1187.649866203759
          -0.912023460411          -1187.883781891388          -1187.674293080175
          -0.910068426197          -1187.907650127325          -1187.698185547704
          -0.908113391984          -1187.930993639683          -1187.721553187498
          -0.906158357771          -1187.953822524197          -1187.744406097764
          -0.904203323558          -1187.976146876602          -1187.766754376710
          -0.902248289345          -1187.997976792633          -1187.788608122543
          -0.900293255132          -1188.019322368026          -1187.809977433471
          -0.898338220919          -1188.040193698517          -1187.830872407699
          -0.896383186706          -1188.060600879840          -1187.851303143437
          -0.894428152493          -1188.080554007731          -1187.871279738891
          -0.892473118280          -1188.100063177925          -1187.890812292268
          -0.890518084066          -1188.119138486157          -1187.909910901776
          -0.888563049853          -1188.137790028165          -1187.928585665622
          -0.886608015640          -1188.156027899681          -1187.946846682014
          -0.884652981427          -1188.173862196442          -1187.964704049159
          -0.882697947214          -1188.191303014183          -1187.982167865263
          -0.880742913001          -1188.208360448640          -1187.999248228536
          -0.878787878788          -1188.225044595547          -1188.015955237182
          -0.876832844575          -1188.241365550641          -1188.032298989412
          -0.874877810362          -1188.257333409656          -1188.048289583430
          -0.872922776149          -1188.272958268328          -1188.063937117446
          -0.870967741935          -1188.288250222393          -1188.079251689665
          -0.869012707722          -1188.303219367586          -1188.094243398296
          -0.867057673509          -1188.317875799641          -1188.108922341546
          -0.865102639296          -1188.332229614294          -1188.123298617621
          -0.863147605083          -1188.346290907282          -1188.137382324730
          -0.861192570870          -1188.360069774339          -1188.151183561080
          -0.859237536657          -1188.373576311200          -1188.164712424878
          -0.857282502444          -1188.386820613601          -1188.177979014331
          -0.855327468231          -1188.399812777277          -1188.190993427647
          -0.853372434018          -1188.412562897964          -1188.203765763033
          -0.851417399804          -1188.425081071397          -1188.216306118696
          -0.849462365591          -1188.437377393311          -1188.228624592844
          -0.847507331378          -1188.449461959442          -1188.240731283684
          -0.845552297165          -1188.461344865525          -1188.252636289423
          -0.843597262952          -1188.473036207295          -1188.264349708268
          -0.841642228739          -1188.484546080489          -1188.275881638428
          -0.839687194526          -1188.495884580840          -1188.287242178109
          -0.837732160313          -1188.507061804085          -1188.298441425519
          -0.835777126100          -1188.518087845959          -1188.309489478864
          -0.833822091887          -1188.528972802197          -1188.320396436353
          -0.831867057674          -1188.539726768534          -1188.331172396192
          -0.829912023460          -1188.550359840707          -1188.341827456590
          -0.827956989247          -1188.560882114450          -1188.352371715752
          -0.826001955034          -1188.571303685357          -1188.362815271746
          -0.824046920821          -1188.581632699918          -1188.373166273202
          -0.822091886608          -1188.591870460217          -1188.383426023189
          -0.820136852395          -1188.602016766799          -1188.393594322981
          -0.818181818182          -1188.612071420206          -1188.403670973851
          -0.816226783969          -1188.622034220982          -1188.413655777072
          -0.814271749756          -1188.631904969671          -1188.423548533917
          -0.812316715543          -1188.641683466817          -1188.433349045660
          -0.810361681329          -1188.651369512962          -1188.443057113573
          -0.808406647116          -1188.660962908650          -1188.452672538931
          -0.806451612903          -1188.670463454425          -1188.462195123005
          -0.804496578690          -1188.679870950831          -1188.471624667071
          -0.802541544477          -1188.689185198410          -1188.480960972400
          -0.800586510264          -1188.698405997707          -1188.490203840266
